Date,IYT,RWR,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
25SEP2013,-0.0061,0.0025,0.0026,-0.0002,0.0055,-0.0045,-0.0015,-0.0084,-0.0068,-0.0078,-0.0061
26SEP2013,0.0040,0.0061,0.0066,0.0018,0.0000,0.0045,0.0037,0.0052,-0.0013,0.0035,0.0095
27SEP2013,-0.0068,-0.0057,-0.0120,-0.0035,-0.0037,-0.0064,-0.0062,-0.0062,-0.0064,0.0000,0.0002
30SEP2013,-0.0021,-0.0092,-0.0036,-0.0077,-0.0070,-0.0059,-0.0062,-0.0107,-0.0011,-0.0022,-0.0038
01OCT2013,0.0138,0.0147,0.0043,0.0064,0.0070,0.0064,0.0087,0.0060,0.0030,0.0127,0.0081
02OCT2013,-0.0044,0.0018,0.0026,0.0023,-0.0002,-0.0047,0.0003,-0.0021,0.0011,-0.0023,-0.0003
03OCT2013,-0.0100,-0.0181,-0.0085,-0.0087,-0.0075,-0.0110,-0.0087,-0.0051,-0.0117,-0.0089,-0.0113
04OCT2013,0.0053,-0.0012,0.0145,0.0101,0.0081,0.0065,0.0041,0.0015,0.0019,0.0112,0.0094
07OCT2013,-0.0108,0.0044,-0.0122,-0.0082,-0.0115,-0.0069,-0.0044,-0.0033,-0.0048,-0.0111,-0.0141
08OCT2013,-0.0146,-0.0092,-0.0159,-0.0107,-0.0126,-0.0113,-0.0159,0.0000,0.0070,-0.0144,-0.0158
09OCT2013,0.0032,-0.0006,0.0015,-0.0035,0.0033,-0.0004,0.0038,0.0008,0.0040,-0.0018,-0.0046
10OCT2013,0.0232,0.0253,0.0212,0.0186,0.0285,0.0258,0.0167,0.0186,0.0150,0.0233,0.0233
11OCT2013,0.0053,0.0112,0.0059,0.0108,0.0057,0.0047,0.0084,0.0030,0.0046,0.0047,0.0086
14OCT2013,0.0003,-0.0005,0.0035,0.0068,0.0049,0.0038,0.0034,0.0042,-0.0054,0.0072,0.0041
15OCT2013,-0.0015,-0.0041,-0.0061,-0.0037,-0.0073,-0.0100,-0.0061,-0.0091,-0.0140,-0.0064,-0.0095
16OCT2013,0.0136,0.0192,0.0101,0.0150,0.0210,0.0066,0.0096,0.0149,0.0091,0.0205,0.0124
17OCT2013,0.0019,0.0151,0.0129,0.0021,0.0090,0.0076,0.0003,0.0112,0.0162,0.0084,0.0074
18OCT2013,0.0120,-0.0022,0.0031,0.0109,0.0019,0.0109,0.0171,0.0014,0.0026,-0.0040,0.0062
